>test 测试
>----------config ----------
>LangDisplayName 简体中文
>LangDisplayDesc 简体中文,Simplified Chinese
>MODName MOD版修改器
>----------window1 主窗口----------
>QFWDModifierMainUI_FlagSet 标志修改:
>QFWDModifierMainUI_TimeSet 时间修改:
>QFWDModifierMainUI_MapSet 地图修改:
>QFWDModifierMainUI_OthersSet 杂项修改:
>QFWDModifierMainUI_QuickFu 画符管理:
>QFWDModifierMainUI_SchoolManager 门派管理:
>QFWDModifierMainUI_NpcManager 人物管理:
>QFWDModifierMainUI_ThingManager 物品管理:
>QFWDModifierMainUI_JHNpcManager 江湖管理:
>QFWDModifierMainUI_PlaceSet 地点管理:
>QFWDModifierMainUI_BuildingManager 建筑管理:
>QFWDModifierMainUI_PlantManager 植物管理:
>QFWDModifierMainUI_CallBoss BOSS召唤:
>QFWDModifierMainUI_JoinnerSet 人物召唤:
>QFWDModifierMainUI_AddManager 物品添加:
>QFWDModifierMainUI_EventSet 事件添加:
>QFWDModifierMainUI_WeatherSet 天气添加:
>QFWDModifierMainUI_AchievementManager 成就添加:
>QFWDModifierMainUI_EasyUse 简单使用:
>QFWDModifierMainUI_OthersModManager 更多模组:
>QFWDModifierMainUI_btnIn 进入
>QFWDModifierMainUI_ChooseAutoStart 开局默认弹窗
>QFWDModifierMainUI_bntShowHelp ?
>QFWDModifierMainUI_OutShow 帮助文档
>QFWDModifierMainUI_bntOptionBtn +
>QFWDModifierMainUI_bntOptionBtn2 <
>QFWDModifierMainUI_ 
>QFWDModifierMainUI_ 
>QFWDModifierMainUI_ 

>QFWDModifierMainUI_Tips1 :载入帮助文件失败！
>QFWDModifierMainUI_Tips2 :获取帮助文件内容失败！
>QFWDModifierMainUI_Tips3 目录
>QFWDModifierMainUI_Tips4 内容
>QFWDModifierMainUI_Tips5 :文件打开失败!
>QFWDModifierMainUI_Tips6 帮助
>QFWDModifierMainUI_Tips7 鼠标左键单击以显示MOD修改器的帮助
>QFWDModifierMainUI_Tips8 鼠标左键单击以显示MOD修改器的主界面
>QFWDModifierMainUI_Tips9 设置
>QFWDModifierMainUI_Tips10 鼠标左键单击以显示MOD修改器的设置
>QFWDModifierMainUI_Tips11 鼠标左键单击以显示MOD修改器的主界面
>QFWDModifierMainUI_Tips12 语言(Language):
>QFWDModifierMainUI_Tips13 设置界面(按左下角的按钮即可返回主界面)
>QFWDModifierMainUI_Tips14 当前语言就是所选语言
>QFWDModifierMainUI_Tips15 重新载入存档即可成功应用所选语言
>QFWDModifierMainUI_Tips16 
>QFWDModifierMainUI_Tips17 
>QFWDModifierMainUI_Tips18 
>QFWDModifierMainUI_Tips19 


>----------window2 成就界面----------
>AchievementManager_Title 成就界面
>AchievementManager_ShowLable 请开始你的表演!
>AchievementManager_tlable1 成就解锁:
>AchievementManager_lable1 ID:
>AchievementManager_lable2 解锁数:
>AchievementManager_UnlockOne 解锁
>AchievementManager_UnlockAll 全部解锁
>AchievementManager_Title2 成就
>AchievementManager_Tips1 解锁成功！
>AchievementManager_Tips2 全部解锁成功！
>AchievementManager_Tips3 :获取相关类失败！
>AchievementManager_Tips4 :获取成就失败！

>----------window3 添加物品----------
>AddManager_Title 添加物品
>AddManager_lableT1 物品编号:
>AddManager_lableT2 物品数量:
>AddManager_bntChooseThing 选择
>AddManager_bntAddThing 添加
>AddManager_ChooseAutoCarry 自动搬运
>AddManager_ChooseAutoSP 自动圣品
>AddManager_ChooseAutoZW 变成镇物
>AddManager_bntMSearch 模糊搜索
>AddManager_lable5 功法编号:
>AddManager_bntShowThingGong 全部功法
>AddManager_lable6 秘籍编号:
>AddManager_bntShowThingEsoterica 全部秘籍
>AddManager_lable7 符咒编号:
>AddManager_bntShowThingSpell 全部符咒
>AddManager_lableFB1 模板物品:
>AddManager_lableFB0 模板:
>AddManager_lableFB2 品阶:
>AddManager_lableFB4 类型:
>AddManager_lableFB3 品质:
>AddManager_lableFB5 美观:
>AddManager_IsFB 使用模板
>AddManager_IsFightFBO 法宝胚胎
>AddManager_IsFightGodFB 上帝法宝
>AddManager_lableP1 傀儡名字:
>AddManager_lableP2 傀儡品阶:
>AddManager_lableP3 傀儡血量:
>AddManager_lableP4 傀儡移速:
>AddManager_bntAddPuppet 添加傀儡
>AddManager_lablex 横坐标X:
>AddManager_labley 纵坐标Y:
>AddManager_bntCheakKey 检查
>AddManager_bntAutoKey 自动
>AddManager_bntAllThing 全部
>AddManager_bntSearchThing 查找
>AddManager_inputSearch 名字...
>AddManager_bntPageUp 上一页
>AddManager_bntPageDown 下一页

>AddManager_Tips1 提示:列表没有的,在编号处输物品名字(如:Item_Wood)后点添加。
>AddManager_Tips2 选择的物品:
>AddManager_Tips3  无
>AddManager_Tips4 提示:0为不添加功法。为负则随机功法！可输功法名(如:Gong_YaoShou)
>AddManager_Tips5 提示:0为不添加秘籍。可输秘籍名(如:NanGongYiCe)
>AddManager_Tips6 提示:0为不添加符咒。可输符咒名(如:Spell_MoveSpeed1)
>AddManager_Tips7 提示:添加法宝需先勾选使用模板再修改类型:15.法宝 16.秘宝 1-14.其他
>AddManager_Tips8 可用!
>AddManager_Tips9 获取空位置成功!
>AddManager_Tips10 获取空位置失败!
>AddManager_Tips11 选中物品成功!
>AddManager_Tips12 添加物品成功!
>AddManager_Tips13 添加物品失败!可能是坐标处有物品。
>AddManager_Tips14 显示功法列表成功!
>AddManager_Tips15 显示秘籍列表成功!
>AddManager_Tips16 显示符咒列表成功!
>AddManager_Tips17 添加傀儡成功!
>AddManager_Tips18 修改列表成功!
>AddManager_Tips19 查看基础属性列表成功!
>AddManager_Tips20 搜索成功!
>AddManager_Tips21 搜索失败!
>AddManager_Tips22 全部物品!
>AddManager_Tips23 确认列表成功!
>AddManager_Tips24 输入的X值溢出!
>AddManager_Tips25 输入的Y值溢出!
>AddManager_Tips26 载入物品名称失败!
>AddManager_Tips27 载入功法数据成功!
>AddManager_Tips28 载入秘籍数据成功!
>AddManager_Tips29 载入符咒数据成功!
>AddManager_Tips30 全部物品
>AddManager_Tips31 符咒
>AddManager_Tips32 查找的物品
>AddManager_Tips33 查找的结果
>AddManager_Tips34 选择的物品
>AddManager_Tips35 列表

>----------window4 建筑管理----------
>BuildingManager_Title 建筑管理
>BuildingManager_lable3111 建筑编号:
>BuildingManager_bntChooseThingShow 自动选中
>BuildingManager_bntSetset 禁止改变
>BuildingManager_lable3 属性编号:
>BuildingManager_lable4 属性:
>BuildingManager_bntSet 修改列表
>BuildingManager_bntYesSetNpc 确认列表
>BuildingManager_NoWall 忽略墙
>BuildingManager_lable16 物品通灵:
>BuildingManager_bntTL 万物通灵
>BuildingManager_bntST 造化塑体
>BuildingManager_bntTLST 通灵塑体
>BuildingManager_lable5 快捷操作:
>BuildingManager_lable6 修复建筑:
>BuildingManager_lable7 移除建筑:
>BuildingManager_lable9 改变归属:
>BuildingManager_lable8 建筑名:
>BuildingManager_bntRepairAll 当前列表
>BuildingManager_bntUnlockBuilding 解锁!
>BuildingManager_bntUnlockAllBuilding 解锁全部!
>BuildingManager_bntShowAllBuilding 全部建筑

>BuildingManager_Tips1 当前选择的建筑
>BuildingManager_Tips2 当前选择的属性
>BuildingManager_Tips3 更新物品成功!
>BuildingManager_Tips4 选中建筑成功!
>BuildingManager_Tips5 修改列表成功!
>BuildingManager_Tips6 查看基础属性列表成功!
>BuildingManager_Tips7 确认列表成功!
>BuildingManager_Tips8 修复搜索列表所有的建筑成功!
>BuildingManager_Tips9 修复搜索列表所有的建筑失败!
>BuildingManager_Tips10 修复全部列表所有的建筑成功!
>BuildingManager_Tips11 修复全部列表所有的建筑失败!
>BuildingManager_Tips12 移除搜索列表所有的建筑成功!
>BuildingManager_Tips13 移除搜索列表所有的建筑失败!
>BuildingManager_Tips14 移除全部列表所有的建筑成功!
>BuildingManager_Tips15 移除全部列表所有的建筑失败!
>BuildingManager_Tips16 改变搜索列表的所有的建筑归属成功!
>BuildingManager_Tips17 改变搜索列表的所有的建筑归属失败!
>BuildingManager_Tips18 改变全部列表的所有的建筑归属成功!
>BuildingManager_Tips19 改变全部列表的所有的建筑归属失败!
>BuildingManager_Tips20 解锁建筑成功!
>BuildingManager_Tips21 解锁建筑失败!
>BuildingManager_Tips22 解锁建筑成功数--
>BuildingManager_Tips23 显示建筑成功!
>BuildingManager_Tips24 通灵塑体成功!
>BuildingManager_Tips25 通灵塑体失败!
>BuildingManager_Tips26 通灵成功!
>BuildingManager_Tips27 通灵失败!
>BuildingManager_Tips28 塑体成功!
>BuildingManager_Tips29 塑体失败!
>BuildingManager_Tips30 加载全部建筑失败!
>BuildingManager_Tips31 当前地图无建筑!
>BuildingManager_Tips32 建筑列表
>BuildingManager_Tips33 建筑属性
>BuildingManager_Tips34 对列表的值进行修改(需要点“确认列表”才能成功修改数据)
>BuildingManager_Tips35 按列表的值对游戏数据进行逐项修改
>BuildingManager_Tips36 通灵塑体=万物通灵+造化塑体

>----------window5 召唤界面----------
>CallBoss_Title 召唤界面
>CallBoss_tlable1 召唤Boss:
>CallBoss_lable1 名称:
>CallBoss_bntCallBossComming 召唤!
